text,label
"Self-supervised learning is innovative.",positive
"Invalid arguments cause errors.",negative
"AI in gaming enhances experience.",positive
"Configuration mismatches cause problems.",negative
"AI in language translation is impressive.",positive
"System instability is concerning.",negative
"Explainable AI improves transparency.",positive
"Corrupted installations cause issues.",negative
"AI in social media analysis is insightful.",positive
"Browser compatibility issues are annoying.",negative
"AI in supply chain management is impactful.",positive
"Software updates can cause disruptions.",negative
"Graph embeddings are useful.",positive
"Invalid states cause crashes.",negative
"Generative models are creative.",positive
"Network security breaches are concerning.",negative
"AI in fraud detection is crucial.",positive
"System errors are frustrating.",negative
"Zero-shot learning is impressive.",positive
"Device driver issues are problematic.",negative
"AI in personalized recommendations is effective.",positive
"Login failures are annoying.",negative
"AI in autonomous vehicles is groundbreaking.",positive
"Application bugs are concerning.",negative
"Few-shot learning is promising.",positive
"Memory allocation errors cause issues.",negative
"AI in medical imaging is revolutionary.",positive
"Database deadlocks are troublesome.",negative
"Unsupervised learning reveals patterns.",positive
"Network drops cause problems.",negative
